crop,rainfed_green_km3,irrigated_green_km3,blue_water_km3,paddy_flooding_km3,reproduced_total_km3,paper_reported_total_km3,difference_km3,absolute_difference_km3,relative_difference_percent
Maize,664.8483857935229,99.1655166356829,95.757536544718,0.0,859.7714389739238,860.0,-0.22856102607624962,0.22856102607624962,-0.026576863497238326
Soybean,491.1440468709873,14.013416511159114,15.758718582491914,0.0,520.9161819646383,521.0,-0.08381803536167354,0.08381803536167354,-0.01608791465675116
Rice,308.7425876734597,397.8822031751864,328.2286648333899,148.61999615431125,1183.4734518363475,1183.0,0.47345183634752175,0.47345183634752175,0.04002128794146422
Wheat,468.3171316645212,84.63883162226344,212.31851649175007,0.0,765.2744797785347,765.0,0.2744797785346691,0.2744797785346691,0.03587970961237504
